Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Município do Curso;Sigla da UF;Conceito Enade (Contínuo);Conceito Enade (Faixa);
685;FACULDADE DO BELO JARDIM;FBJ;Faculdade;Especial;Belo Jardim;PE;0,828;1;0
702;FACULDADE  DE CIÊNCIAS E TECNOLOGIA PROFESSOR DIRSON MACIEL DE BARROS;FADIMAB;Faculdade;Especial;Goiana;PE;1,7;2;0
704;FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA;FACIAGRA;Faculdade;Especial;Araripina;PE;1,8718;2;0
705;CENTRO UNIVERSITÁRIO SÃO JOSÉ;UNISJ;Centro Universitário;Privada sem fins lucrativos;Rio de Janeiro;RJ;2,5787;3;0
707;CENTRO UNIVERSITÁRIO CENTRAL PAULISTA;UNICEP;Centro Universitário;Privada com fins lucrativos;São Carlos;SP;1,918;2;0
712;CENTRO UNIVERSITÁRIO IBMR;;Centro Universitário;Privada com fins lucrativos;Rio de Janeiro;RJ;3,5096;4;0
715;FAE CENTRO UNIVERSITÁRIO;;Centro Universitário;Privada sem fins lucrativos;Curitiba;PR;2,9196;3;0
716;FACULDADES INTEGRADAS DE BOTUCATU;;Faculdade;Privada sem fins lucrativos;Botucatu;SP;2,7941;3;0
718;UNIVERSIDADE POTIGUAR;UNP;Universidade;Privada com fins lucrativos;Natal;RN;;SC;0
724;Centro Universitário FACEX;UNIFACEX;Centro Universitário;Privada sem fins lucrativos;Natal;RN;2,321;3;0
727;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO;FASF;Faculdade;Privada sem fins lucrativos;Luz;MG;2,4612;3;0
728;FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO;FACIC;Faculdade;Privada com fins lucrativos;Curvelo;MG;1,6994;2;0
734;FACULDADES INTEGRADAS MARIA IMACULADA;FIMI;Faculdade;Privada sem fins lucrativos;Mogi Guaçu;SP;2,2758;3;0
736;FACULDADE PITÁGORAS DE LINHARES;;Faculdade;Privada com fins lucrativos;Linhares;ES;3,6009;4;0
737;CENTRO UNIVERSITÁRIO SÃO CAMILO;SAO CAMILO;Centro Universitário;Privada sem fins lucrativos;São Paulo;SP;3,3819;4;0
738;CENTRO UNIVERSITÁRIO TERESA D'ÁVILA;FATEA;Centro Universitário;Privada sem fins lucrativos;Lorena;SP;1,6301;2;0
739;CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO;SÃO CAMILO-ES;Centro Universitário;Privada sem fins lucrativos;Cachoeiro de Itapemirim;ES;2,2748;3;0
752;FACULDADE DE PARÁ DE MINAS;FAPAM;Faculdade;Privada sem fins lucrativos;Pará de Minas;MG;3,9379;4;0
757;Centro Universitário da Amazônia;Unama;Centro Universitário;Privada com fins lucrativos;Santarém;PA;2,8857;3;0
763;INSTITUTO UNIFICADO DE ENSINO SUPERIOR OBJETIVO;IUESO;Faculdade;Privada com fins lucrativos;Goiânia;GO;0,6599;1;0
780;UNIVERSIDADE DE CUIABÁ;UNIC/UNIME;Universidade;Privada com fins lucrativos;Cuiabá;MT;3,0464;4;0
781;FACULDADE DE RONDONÓPOLIS;;Faculdade;Privada com fins lucrativos;Rondonópolis;MT;1,5285;2;0
788;FACULDADE DE RONDÔNIA;FARO;Faculdade;Privada sem fins lucrativos;Porto Velho;RO;0,7432;1;0
790;Faculdade Israelita de Ciências da Saúde Albert Einstein;FICSAE;Faculdade;Privada sem fins lucrativos;São Paulo;SP;3,286;4;0
792;CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ;CESUPA;Centro Universitário;Privada sem fins lucrativos;Belém;PA;2,9641;4;0
793;Centro Universitário Estácio de São Paulo;ESTÁCIO SÃO PAULO;Centro Universitário;Privada com fins lucrativos;São Paulo;SP;1,7135;2;0
794;CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE;UNIVAG;Centro Universitário;Privada sem fins lucrativos;Várzea Grande;MT;1,9013;2;0
796;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO VALE DO SÃO LOURENÇO;EDUVALE;Faculdade;Privada com fins lucrativos;Jaciara;MT;2,3286;3;0
798;FACULDADES INTEGRADAS DE ARACRUZ;FAACZ;Faculdade;Privada sem fins lucrativos;Aracruz;ES;1,3447;2;0
802;CENTRO UNIVERSITÁRIO UNICARIOCA;UNICARIOCA;Centro Universitário;Privada sem fins lucrativos;Rio de Janeiro;RJ;2,6132;3;0
810;CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE;CTESOP;Faculdade;Privada com fins lucrativos;Assis Chateaubriand;PR;2,4735;3;0
823;UNIVERSIDADE DO CEUMA - UNICEUMA;UNICEUMA;Universidade;Privada sem fins lucrativos;São Luís;MA;1,664;2;0
825;FACULDADE PRESBITERIANA GAMMON;FAGAMMON;Faculdade;Privada sem fins lucrativos;Lavras;MG;2,4302;3;0
826;CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE;UNIDESC;Centro Universitário;Privada com fins lucrativos;Luziânia;GO;1,9757;3;0
828;FACULDADE DE SÃO LOURENÇO;FASAMA;Faculdade;Privada com fins lucrativos;São Lourenço;MG;3,2952;4;0
852;FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA;FIAP;Faculdade;Privada com fins lucrativos;São Paulo;SP;3,1905;4;0
861;CENTRO DE ENSINO SUPERIOR DO AMAPÁ;CEAP;Faculdade;Privada com fins lucrativos;Macapá;AP;2,0744;3;0
862;FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE;FESCG;Faculdade;Privada com fins lucrativos;Campo Grande;MS;;SC;0
878;CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS;UNILESTEMG;Centro Universitário;Privada sem fins lucrativos;Coronel Fabriciano;MG;1,8894;2;0
886;FACULDADE DE HORTOLÂNDIA;FACH;Faculdade;Privada com fins lucrativos;Hortolândia;SP;;SC;0
891;FACULDADE  PITÁGORAS;;Faculdade;Privada com fins lucrativos;Belo Horizonte;MG;2,3915;3;0
898;CENTRO UNIVERSITÁRIO SANTA RITA;UNISANTARITA;Centro Universitário;Privada sem fins lucrativos;São Paulo;SP;1,3087;2;0
915;FACULDADE DE ADMINISTRAÇÃO DE FÁTIMA DO SUL;FAFS;Faculdade;Privada sem fins lucrativos;Fátima do Sul;MS;0,2987;1;0
916;FACULDADE ESTÁCIO DE TERESINA;ESTÁCIO TERESINA;Faculdade;Privada com fins lucrativos;Teresina;PI;0,7002;1;0
926;CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE;;Centro Universitário;Privada com fins lucrativos;Campo Grande;MS;1,4372;2;0
940;Faculdades Magsul;FAMAG;Faculdade;Privada sem fins lucrativos;Ponta Porã;MS;1,1837;2;0
952;UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Universidade;Privada sem fins lucrativos;Santos;SP;2,4179;3;0
953;UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Universidade;Privada sem fins lucrativos;Santos;SP;1,8141;2;0
994;Faculdade de Duque de Caxias;FDC;Faculdade;Privada sem fins lucrativos;Duque de Caxias;RJ;0,5886;1;0
997;Centro Universitário de Bauru;;Centro Universitário;Privada sem fins lucrativos;Bauru;SP;2,0458;3;0
1014;INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC;BOM JESUS/IELUSC;Faculdade;Privada sem fins lucrativos;Joinville;SC;2,9066;3;0
1019;FACULDADE DE CIÊNCIAS E TECNOLOGIA DE UNAÍ - FACTU;FACTU;Faculdade;Privada sem fins lucrativos;Unaí;MG;2,5551;3;0
1030;Centro Universitário IBMEC;IBMEC;Centro Universitário;Privada com fins lucrativos;Rio de Janeiro;RJ;2,5677;3;0
1032;CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO;UNISAL;Centro Universitário;Privada sem fins lucrativos;Americana;SP;;SC;0
1038;FACULDADES INTEGRADAS DE TRÊS LAGOAS;AEMS;Faculdade;Privada sem fins lucrativos;Três Lagoas;MS;1,3685;2;0
1041;UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;Universidade;Privada sem fins lucrativos;Lajeado;RS;2,4659;3;0
1042;UNIVERSIDADE POSITIVO;UP;Universidade;Privada com fins lucrativos;Curitiba;PR;2,5336;3;0
1043;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO;FHO;Centro Universitário;Privada sem fins lucrativos;Araras;SP;3,2732;4;0
1045;CENTRO UNIVERSITÁRIO ANHANGÜERA;UNIFIAN;Centro Universitário;Privada com fins lucrativos;Leme;SP;1,708;2;0
1046;UNIÃO DAS FACULDADES DOS GRANDES LAGOS;UNILAGO;Faculdade;Privada sem fins lucrativos;São José do Rio Preto;SP;2,5633;3;0
1049;INSTITUTO DE ENSINO SUPERIOR FUCAPI;CESF;Faculdade;Privada sem fins lucrativos;Manaus;AM;1,2361;2;0
1051;FACULDADE DA SEUNE;SEUNE;Faculdade;Privada com fins lucrativos;Maceió;AL;1,7838;2;0
1053;CENTRO UNIVERSIÁRIO UNIFTC DE FEIRA DE SANTANA;;Centro Universitário;Privada com fins lucrativos;Feira de Santana;BA;1,3266;2;0
1055;Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Centro Universitário;Privada sem fins lucrativos;Salvador;BA;1,1941;2;0
1058;Estácio FIB - Centro Universitário Estácio da Bahia;Estácio FIB;Centro Universitário;Privada com fins lucrativos;Salvador;BA;1,5065;2;0
1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Centro Universitário;Privada com fins lucrativos;Brasília;DF;2,9602;4;0
1066;INSTITUTO DE ENSINO E PESQUISA OBJETIVO;IEPO;Faculdade;Privada com fins lucrativos;Palmas;TO;1,9182;2;0
1068;FACULDADE ALDETE MARIA ALVES;FAMA;Faculdade;Privada sem fins lucrativos;Iturama;MG;1,5929;2;0
1070;FACULDADE CNEC UNAÍ;;Faculdade;Privada sem fins lucrativos;Unaí;MG;1,159;2;0
1075;INSTITUTO DE EDUCAÇÃO SUPERIOR DA PARAÍBA;IESP;Faculdade;Privada com fins lucrativos;Cabedelo;PB;1,2977;2;0
1076;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE CAJAZEIRAS;FAFIC;Faculdade;Privada sem fins lucrativos;Cajazeiras;PB;2,5386;3;0
1077;Centro Universitário Estácio do Recife;;Centro Universitário;Privada com fins lucrativos;Recife;PE;1,4938;2;0
1078;CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO;;Centro Universitário;Privada com fins lucrativos;Campo Mourão;PR;1,8987;2;0
1080;FACULDADE ARTHUR SÁ EARP NETO;FASE;Faculdade;Privada sem fins lucrativos;Petrópolis;RJ;3,7323;4;0
1081;FACULDADE DE ENGENHARIA DE RESENDE;FER;Faculdade;Privada sem fins lucrativos;Resende;RJ;2,5978;3;0
1084;FACULDADE CENECISTA DE BENTO GONÇALVES;FACEBG;Faculdade;Privada sem fins lucrativos;Bento Gonçalves;RS;2,2593;3;0
1085;FACULDADE METODISTA CENTENÁRIO;FMC;Faculdade;Privada sem fins lucrativos;Santa Maria;RS;1,9987;3;0
1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;Porto Velho;RO;1,7163;2;0
1092;FACULDADES INTEGRADAS DE BAURU;FIB;Faculdade;Privada com fins lucrativos;Bauru;SP;1,7674;2;0
1100;Centro Universitário Carlos Drummond de Andrade;UniDrummond;Centro Universitário;Privada sem fins lucrativos;São Paulo;SP;1,7333;2;0
1107;Centro Universitário Estácio do Ceará;Estácio FIC;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;2,8319;3;0
1113;CENTRO UNIVERSITÁRIO EURO-AMERICANO;UNIEURO;Centro Universitário;Privada sem fins lucrativos;Brasília;DF;2,6604;3;0
1115;FACULDADE SANTA TEREZINHA;CEST;Faculdade;Privada sem fins lucrativos;São Luís;MA;2,0328;3;0
1125;FACULDADES INTEGRADAS ESPÍRITA;FIES;Faculdade;Privada sem fins lucrativos;Curitiba;PR;2,3968;3;0
1128;UNIVERSIDADE DE ITAÚNA;UI;Universidade;Privada sem fins lucrativos;Itaúna;MG;1,7228;2;0
1129;CENTRO UNIVERSITÁRIO DO NORTE PAULISTA;UNORP;Centro Universitário;Privada sem fins lucrativos;São José do Rio Preto;SP;1,0616;2;0
1131;CENTRO UNIVERSITÁRIO SANTO AGOSTINHO;UNIFSA;Centro Universitário;Privada com fins lucrativos;Teresina;PI;2,456;3;0
1139;FACULDADE DE ESTUDOS ADMINISTRATIVOS DE MINAS GERAIS - FEAD-MG;FEAD - MG;Faculdade;Privada sem fins lucrativos;Belo Horizonte;MG;2,7482;3;0
1141;CENTRO UNIVERSITÁRIO GAMA E SOUZA;;Centro Universitário;Privada sem fins lucrativos;Rio de Janeiro;RJ;;SC;0
1149;CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO;CEUNSP;Centro Universitário;Privada com fins lucrativos;Salto;SP;2,3871;3;0
1151;FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE;FANESE;Faculdade;Privada com fins lucrativos;Aracaju;SE;1,957;3;0
1153;UNIVERSIDADE CÂNDIDO MENDES;UCAM;Universidade;Privada sem fins lucrativos;Rio de Janeiro;RJ;1,2221;2;0
1157;ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS;ESFA;Faculdade;Privada sem fins lucrativos;Santa Teresa;ES;1,4563;2;0
1160;FACULDADE CAMBURY;CAMBURY;Faculdade;Privada com fins lucrativos;Goiânia;GO;1,8621;2;0
1161;INSPER INSTITUTO DE ENSINO E PESQUISA;INSPER;Faculdade;Privada sem fins lucrativos;São Paulo;SP;2,5208;3;0
1170;FACULDADE METROPOLITANA DE CAMAÇARI;FAMEC;Faculdade;Privada sem fins lucrativos;Camaçari;BA;1,8085;2;0
1173;FACULDADE ANHANGUERA DE BRASÍLIA;;Faculdade;Privada com fins lucrativos;Brasília;DF;2,1026;3;0
1175;FACULDADE ESTÁCIO DO RIO GRANDE DO SUL - ESTÁCIO FARGS;ESTÁCIO FARGS;Faculdade;Privada sem fins lucrativos;Porto Alegre;RS;;SC;0
1185;CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Centro Universitário;Privada com fins lucrativos;Salvador;BA;2,8123;3;0
1187;CENTRO UNIVERSITÁRIO MÓDULO;MÓDULO;Centro Universitário;Privada com fins lucrativos;Caraguatatuba;SP;1,6651;2;0
1189;UNIVERSIDADE DO PLANALTO CATARINENSE;UNIPLAC;Universidade;Privada sem fins lucrativos;Lages;SC;1,9037;2;0
1190;FACULDADE INTEGRAL CANTAREIRA;F.I.C.;Faculdade;Privada sem fins lucrativos;São Paulo;SP;2,2502;3;0
1191;INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA;IESF;Faculdade;Privada sem fins lucrativos;Fortaleza;CE;1,4721;2;0
1196;CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR;UNICESUMAR;Centro Universitário;Privada com fins lucrativos;Maringá;PR;4,468;5;0
1202;FACULDADE SANTA RITA;FASAR;Faculdade;Privada com fins lucrativos;Conselheiro Lafaiete;MG;1,987;3;0
1205;FACULDADE EDUCACIONAL DA LAPA;FAEL;Faculdade;Privada com fins lucrativos;Lapa;PR;1,0126;2;0
1219;INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR;IIES;Faculdade;Privada com fins lucrativos;Itapetininga;SP;1,3778;2;0
1221;FACULDADE GAMMON;;Faculdade;Privada sem fins lucrativos;Paraguaçu Paulista;SP;1,5845;2;0
1224;CENTRO UNIVERSITÁRIO DE JALES;UNIJALES;Centro Universitário;Privada sem fins lucrativos;Jales;SP;0,0416;1;0
1225;CENTRO UNIVERSITÁRIO AMPARENSE;UNIFIA;Centro Universitário;Privada com fins lucrativos;Amparo;SP;1,6175;2;0
1226;INSTITUTO DE ENSINO SUPERIOR DO ACRE;IESACRE;Faculdade;Privada com fins lucrativos;Rio Branco;AC;1,6055;2;0
1227;FACULDADE SÃO FRANCISCO DE BARREIRAS - FASB;FASB;Faculdade;Privada sem fins lucrativos;Barreiras;BA;2,0041;3;0
1230;CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL;UNIPINHAL;Centro Universitário;Privada sem fins lucrativos;Espírito Santo do Pinhal;SP;;SC;0
1231;FACULDADE CNEC SANTO ÂNGELO;;Faculdade;Privada sem fins lucrativos;Santo Ângelo;RS;2,5833;3;0
1232;CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE;UNIANDRADE;Centro Universitário;Privada sem fins lucrativos;Curitiba;PR;1,3782;2;0
1233;CENTRO UNIVERSITÁRIO UNIC;;Centro Universitário;Privada com fins lucrativos;Cuiabá;MT;;SC;0
1243;Faculdade Doctum de Serra;DOCTUM;Faculdade;Privada sem fins lucrativos;Serra;ES;1,5985;2;0
1244;FACULDADE BRASILEIRA;MULTIVIX VITÓRIA;Faculdade;Privada com fins lucrativos;Vitória;ES;3,5901;4;0
1245;Faculdade de Castelo - Multivix Castelo;Multivix Castelo;Faculdade;Privada com fins lucrativos;Castelo;ES;2,2526;3;0
1247;FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN;FACINAN;Faculdade;Privada sem fins lucrativos;Nova Andradina;MS;0,7654;1;0
1253;FACULDADE METODISTA GRANBERY;FMG;Faculdade;Privada sem fins lucrativos;Juiz de Fora;MG;2,2539;3;0
1255;Centro Universitário FBV Wyden;UniFBV Wyden;Centro Universitário;Privada com fins lucrativos;Recife;PE;2,1722;3;0
1256;FACULDADE DOM BOSCO;DOM BOSCO;Faculdade;Privada sem fins lucrativos;Cascavel;PR;2,7571;3;0
1258;FACULDADE DE CASCAVEL;;Faculdade;Privada com fins lucrativos;Cascavel;PR;3,2617;4;0
1263;FACULDADE BEZERRA DE ARAÚJO;FABA;Faculdade;Privada com fins lucrativos;Rio de Janeiro;RJ;1,8039;2;0
1264;CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE;UNI-RN;Centro Universitário;Privada sem fins lucrativos;Natal;RN;3,1664;4;0
1266;FACULDADES INTEGRADAS URUBUPUNGÁ;FIU;Faculdade;Privada sem fins lucrativos;Pereira Barreto;SP;0,5076;1;0
1267;INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS;IESGF;Faculdade;Privada com fins lucrativos;São José;SC;2,1233;3;0
1270;CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Centro Universitário;Privada com fins lucrativos;Ribeirão Preto;SP;1,2299;2;0
1273;Centro Universitário Campo Limpo Paulista;UNIFACCAMP;Centro Universitário;Privada com fins lucrativos;Campo Limpo Paulista;SP;;SC;0
1276;INSTITUTO TAUBATÉ DE ENSINO SUPERIOR;I.T.E.S.;Faculdade;Privada com fins lucrativos;Taubaté;SP;2,0727;3;0
1280;Faculdade Estácio Cotia;Estácio FAAC;Faculdade;Privada com fins lucrativos;Cotia;SP;1,148;2;0
1281;FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA;FAIT;Faculdade;Privada com fins lucrativos;Itapeva;SP;0,7606;1;0
1292;Centro Universitário de Adamantina;FAI;Centro Universitário;Especial;Adamantina;SP;1,684;2;0
1294;Centro Universitário das Américas;CAM;Centro Universitário;Privada com fins lucrativos;São Paulo;SP;3,5573;4;0
1298;Faculdade Estácio de Alagoas - Estácio FAL;ESTÁCIO FAL;Faculdade;Privada com fins lucrativos;Maceió;AL;1,6291;2;0
1299;FACULDADES INTEGRADAS DE FERNANDÓPOLIS;FIFE;Faculdade;Privada sem fins lucrativos;Fernandópolis;SP;1,1436;2;0
1300;INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH;ITES;Faculdade;Privada sem fins lucrativos;Taquaritinga;SP;1,6569;2;0
1307;FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL;FAEF;Faculdade;Privada com fins lucrativos;Garça;SP;2,5619;3;0
1308;FACULDADE NOVO MILÊNIO;FNM;Faculdade;Privada com fins lucrativos;Vila Velha;ES;1,546;2;0
1310;FACULDADE DE AMERICANA;FAM;Faculdade;Privada sem fins lucrativos;Americana;SP;0,6626;1;0
1317;Centro Universitário Sudoeste Paulista;UniFSP;Centro Universitário;Privada com fins lucrativos;Avaré;SP;2,932;3;0
1318;FACULDADE UNINASSAU VITÓRIA DA CONQUISTA;;Faculdade;Privada com fins lucrativos;Vitória da Conquista;BA;2,4368;3;0
1319;FACULDADE TECSOMA;FATEC;Faculdade;Privada com fins lucrativos;Paracatu;MG;1,4742;2;0
1322;FACULDADE EDUVALE DE AVARÉ;EDUVALE;Faculdade;Privada sem fins lucrativos;Avaré;SP;3,5499;4;0
1325;FACULDADE DE APUCARANA;FAP;Faculdade;Privada sem fins lucrativos;Apucarana;PR;1,8494;2;0
1326;FACULDADE CAPIXABA DA SERRA;MULTIVIX SERRA;Faculdade;Privada com fins lucrativos;Serra;ES;3,7082;4;0
1328;FACULDADE DE COMUNICAÇÃO E TURISMO DE OLINDA;FACOTTUR;Faculdade;Privada sem fins lucrativos;Olinda;PE;1,9227;2;0
1334;CENTRO UNIVERSITÁRIO FACISA;UNIFACISA;Centro Universitário;Privada com fins lucrativos;Campina Grande;PB;3,0224;4;0
1336;CENTRO UNIVERSITÁRIO ASSIS GURGACZ;FAG;Centro Universitário;Privada sem fins lucrativos;Cascavel;PR;1,4983;2;0
1337;FACULDADE MATER DEI;FMD;Faculdade;Privada com fins lucrativos;Pato Branco;PR;2,2732;3;0
1350;FACULDADE DO VALE DO JAGUARIBE;FVJ;Faculdade;Privada com fins lucrativos;Aracati;CE;2,7798;3;0
1351;CENTRO UNIVERSITÁRIO SOCIESC;;Centro Universitário;Privada sem fins lucrativos;Joinville;SC;2,243;3;0
1355;FACULDADES INTEGRADAS DE JAHU;FIJ;Faculdade;Privada sem fins lucrativos;Jaú;SP;2,7579;3;0
1359;FACULDADE CAPIXABA DE NOVA VENÉCIA;MULTIVIX NOVA VENÉCI;Faculdade;Privada com fins lucrativos;Nova Venécia;ES;3,4388;4;0
1362;CENTRO UNIVERSITÁRIO UBAENSE OZANAM COELHO;;Centro Universitário;Privada com fins lucrativos;Ubá;MG;2,8287;3;0
1364;CENTRO UNIVERSIÁRIO UNIFTC;;Centro Universitário;Privada com fins lucrativos;Vitória da Conquista;BA;1,7636;2;0
1365;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;UNASP;Centro Universitário;Privada sem fins lucrativos;Engenheiro Coelho;SP;2,6923;3;0
1379;FACULDADES INTEGRADAS SÃO PEDRO;FAESA;Faculdade;Privada sem fins lucrativos;Vitória;ES;2,5025;3;0
1381;Faculdade Martha Falcão Wyden;FMF Wyden;Faculdade;Privada com fins lucrativos;Manaus;AM;1,8693;2;0
1386;FACULDADE ESAMC CAMPINAS;ESAMC;Faculdade;Privada com fins lucrativos;Campinas;SP;2,0308;3;0
1395;FACULDADE DE CALDAS NOVAS;UNICALDAS;Faculdade;Privada com fins lucrativos;Caldas Novas;GO;1,8474;2;0
1396;Centro Universitário Dinâmica das Cataratas;UDC;Centro Universitário;Privada com fins lucrativos;Foz do Iguaçu;PR;1,1654;2;0
1403;FACULDADE DE PIMENTA BUENO;FAP;Faculdade;Privada com fins lucrativos;Pimenta Bueno;RO;1,218;2;0
1404;FACULDADE DE PIRACANJUBA;FAP;Faculdade;Privada com fins lucrativos;Piracanjuba;GO;0,0398;1;0
1409;FACULDADE DO CENTRO LESTE;UCL;Faculdade;Privada com fins lucrativos;Serra;ES;3,5433;4;0
1410;Faculdade Área1 Wyden;Área1 Wyden;Faculdade;Privada com fins lucrativos;Salvador;BA;1,9751;3;0
1412;FACULDADE ANHANGUERA DE JUNDIAÍ;;Faculdade;Privada com fins lucrativos;Jundiaí;SP;1,842;2;0
1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;Porto Velho;RO;2,1878;3;0
1417;FACULDADE CNEC CAMPO LARGO;;Faculdade;Privada sem fins lucrativos;Campo Largo;PR;2,0512;3;0
1418;CENTRO UNIVERSITÁRIO TOLEDO;UNITOLEDO;Centro Universitário;Privada com fins lucrativos;Araçatuba;SP;2,759;3;0
1419;CENTRO UNIVERSITÁRIO CURITIBA;UNICURITIBA;Centro Universitário;Privada com fins lucrativos;Curitiba;PR;3,4804;4;0
1422;CENTRO UNIVERSITÁRIO DO NORTE;UNINORTE;Centro Universitário;Privada com fins lucrativos;Manaus;AM;1,2044;2;0
1423;Faculdade Ideal Wyden;Faci Wyden;Faculdade;Privada com fins lucrativos;Belém;PA;0,9003;1;0
1426;INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA;ILES;Faculdade;Privada sem fins lucrativos;Itumbiara;GO;1,7701;2;0
1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA;FSG;Centro Universitário;Privada com fins lucrativos;Caxias do Sul;RS;2,2087;3;0
1428;INSTITUTO DE ENSINO SUPERIOR PLANALTO;IESPLAN;Faculdade;Privada com fins lucrativos;Brasília;DF;1,9307;2;0
1430;CENTRO UNIVERSITÁRIO INGÁ;;Centro Universitário;Privada sem fins lucrativos;Maringá;PR;1,9775;3;0
1433;FACULDADE ORÍGENES LESSA;FACOL;Faculdade;Privada sem fins lucrativos;Lençóis Paulista;SP;0,9917;2;0
1434;Centro Universitário de Itapira Uniesi;UNIESI;Centro Universitário;Privada com fins lucrativos;Itapira;SP;2,4086;3;0
1436;ESCOLA SUPERIOR BATISTA DO AMAZONAS;ESBAM;Faculdade;Privada com fins lucrativos;Manaus;AM;1,1388;2;0
1437;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO;ESRC;Faculdade;Privada com fins lucrativos;Rio Claro;SP;1,781;2;0
1438;FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS;FACAMP;Faculdade;Privada com fins lucrativos;Campinas;SP;3,1222;4;0
1444;FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA;FIEL;Faculdade;Privada sem fins lucrativos;Limeira;SP;2,9115;3;0
1445;CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA;CEUN-IMT;Centro Universitário;Privada sem fins lucrativos;São Caetano do Sul;SP;3,9846;5;0
1446;CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN;UNIPLAN;Centro Universitário;Privada com fins lucrativos;Brasília;DF;1,5264;2;0
1450;CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO;UNICERP;Centro Universitário;Privada sem fins lucrativos;Patrocínio;MG;1,6902;2;0
1452;FACULDADE PITÁGORAS DO MARANHÃO;;Faculdade;Privada com fins lucrativos;São Luís;MA;1,1046;2;0
1455;FACULDADE SANTÍSSIMO SACRAMENTO;FSSS;Faculdade;Privada sem fins lucrativos;Alagoinhas;BA;1,8308;2;0
1457;Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN;ESTÁCIO EUROPAN;Faculdade;Privada com fins lucrativos;Cotia;SP;;SC;0
1459;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS;FUCAMP;Faculdade;Privada sem fins lucrativos;Monte Carmelo;MG;1,394;2;0
