Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Município do Curso;Sigla da UF;Conceito Enade (Contínuo);Conceito Enade (Faixa);
194;ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES;EEFTESM;Faculdade;Privada sem fins lucrativos;Rio de Janeiro;RJ;1,9693;3;0
202;FACULDADE DO RIO DE JANEIRO;;Faculdade;Privada com fins lucrativos;Rio de Janeiro;RJ;0,9431;1;0
203;UNIVERSIDADE SÃO JUDAS TADEU;USJT;Universidade;Privada com fins lucrativos;São Paulo;SP;2,5636;3;0
206;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;UNIÍTALO;Centro Universitário;Privada sem fins lucrativos;São Paulo;SP;1,7861;2;0
207;CENTRO UNIVERSITÁRIO MOURA LACERDA;CUML;Centro Universitário;Privada sem fins lucrativos;Ribeirão Preto;SP;2,4562;3;0
208;UNIVERSIDADE DE RIBEIRÃO PRETO;UNAERP;Universidade;Privada sem fins lucrativos;Guarujá;SP;1,5019;2;0
214;FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG;FEAMIG;Faculdade;Privada sem fins lucrativos;Belo Horizonte;MG;2,4204;3;0
216;CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX;CEUNIH;Centro Universitário;Privada sem fins lucrativos;Belo Horizonte;MG;1,4366;2;0
221;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Universidade;Privada com fins lucrativos;São Paulo;SP;1,5677;2;0
222;CENTRO UNIVERSITÁRIO DE VOTUPORANGA;UNIFEV;Centro Universitário;Privada sem fins lucrativos;Votuporanga;SP;2,0183;3;0
224;Centro Universitário Saúde ABC;CUSABC;Centro Universitário;Privada sem fins lucrativos;Santo André;SP;1,7824;2;0
225;FACULDADE DE SANTO ANDRÉ;;Faculdade;Privada sem fins lucrativos;Santo André;SP;0,8911;1;0
226;CENTRO UNIVERSITÁRIO LUSÍADA;UNILUS;Centro Universitário;Privada sem fins lucrativos;Santos;SP;2,1316;3;0
227;UNIVERSIDADE CATÓLICA DE SANTOS;UNISANTOS;Universidade;Privada sem fins lucrativos;Santos;SP;2,0783;3;0
231;FACULDADE DE SÃO BERNARDO DO CAMPO - FASB;FASB I;Faculdade;Privada sem fins lucrativos;São Bernardo do Campo;SP;2,3737;3;0
234;FACULDADES OSWALDO CRUZ;FOC;Faculdade;Privada com fins lucrativos;São Paulo;SP;2,8086;3;0
240;UNIVERSIDADE SANTA ÚRSULA;USU;Universidade;Privada sem fins lucrativos;Rio de Janeiro;RJ;0,8246;1;0
242;CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ;UNIA;Centro Universitário;Privada com fins lucrativos;Santo André;SP;0,8809;1;0
243;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM;Faculdade;Privada sem fins lucrativos;Mogi das Cruzes;SP;1,985;3;0
244;CENTRO UNIVERSITÁRIO FIEO;UNIFIEO;Centro Universitário;Privada sem fins lucrativos;Osasco;SP;1,4594;2;0
265;CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS;Unifio;Centro Universitário;Privada sem fins lucrativos;Ourinhos;SP;2,3989;3;0
266;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;Universidade;Privada sem fins lucrativos;Santa Bárbara d'Oeste;SP;2,7808;3;0
267;CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA;;Centro Universitário;Privada sem fins lucrativos;Vitória;ES;3,1309;4;0
269;FACULDADE FACCAT;FACCAT;Faculdade;Privada com fins lucrativos;Tupã;SP;2,179;3;0
270;FACULDADE DE TUPÃ;;Faculdade;Privada com fins lucrativos;Tupã;SP;1,2065;2;0
271;UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Universidade;Privada sem fins lucrativos;Presidente Prudente;SP;2,4417;3;0
275;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;Universidade;Privada sem fins lucrativos;São José dos Campos;SP;2,5344;3;0
277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;UNISUAM;Centro Universitário;Privada sem fins lucrativos;Rio de Janeiro;RJ;1,397;2;0
