Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
FACUDADE IEDUCARE - FIED;2132;Faculdade;CE
CENTRO UNIVERSITÁRIO INTERNACIONAL;2133;Centro Universitário;PR
INSTITUTO SUPERIOR DE EDUCAÇÃO DE GUARATUBA;2135;Faculdade;PR
FACULDADE NOVO MILÊNIO;2145;Faculdade;ES
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE;2146;Faculdade;RS
FI - FACULDADE IGUAÇU;2147;Faculdade;PR
Faculdade Unirb - Feira de Santana;2148;Faculdade;BA
FACULDADE ESPÍRITO SANTENSE;2149;Faculdade;ES
UNIVERSIDADE CATÓLICA DE PERNAMBUCO;2150;Universidade;PE
FACULDADE DO RECIFE;2154;Faculdade;PE
Faculdade UNIRB - ARAPIRACA;2158;Faculdade;AL
UNIVERSIDADE DE GURUPI;2163;Universidade;TO
CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO;2165;Faculdade;MG
FACULDADE DO SUL DA BAHIA;2168;Faculdade;BA
FACULDADE METROPOLITANA SÃO CARLOS BJI;2171;Faculdade;RJ
CENTRO UNIVERSITÁRIO TIRADENTES;2173;Centro Universitário;AL
CENTRO DE ENSINO SUPERIOR DE PALMAS;2174;Faculdade;TO
FACULDADE DO VALE DO JAGUARIBE;2175;Faculdade;CE
FACULDADE JUIZ DE FORA;2183;Faculdade;MG
CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;2184;Centro Universitário;ES
FACULDADE DO NORTE GOIANO;2186;Faculdade;GO
INSTITUTO DE ENSINO SUPERIOR DE TERESINA;2189;Faculdade;PI
FACULDADE EVANGÉLICA DE RUBIATABA;2191;Faculdade;GO
FACULDADE TECSOMA;2194;Faculdade;MG
FACULDADE GAMA E SOUZA;2197;Faculdade;RJ
CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES;2198;Centro Universitário;MG
Faculdade Anhanguera Franca;2200;Faculdade;SP
Faculdade Pitágoras de João Pessoa;2202;Faculdade;PB
FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE;2220;Faculdade;RO
FACULDADE SANTO AGOSTINHO;2222;Faculdade;MG
FACULDADE ESTÁCIO DO RIO GRANDE DO SUL - ESTÁCIO FARGS;2229;Faculdade;RS
FACULDADE ASSOCIADA BRASIL;2233;Faculdade;SP
Faculdade Anhanguera de Indaiatuba;2240;Faculdade;SP
FACULDADE ANHANGUERA DE JACAREÍ;2241;Faculdade;SP
INSTITUTO DE ENSINO SUPERIOR DE CUIABÁ;2242;Faculdade;MT
FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO;2243;Faculdade;MT
INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAXIAS;2244;Faculdade;MA
Centro Universitário de Ciências e Tecnologia do Maranhão;2245;Centro Universitário;MA
FACULDADE ESTÁCIO DE JOÃO PESSOA - ESTÁCIO DE JOÃO PESSOA;2248;Faculdade;PB
FACULDADE NOBRE DE FEIRA DE SANTANA;2257;Faculdade;BA
Faculdade Ideal Wyden;2264;Faculdade;PA
FACULDADE FIGUEIREDO COSTA - FIC;2270;Faculdade;AL
FACULDADE SÃO LUÍS;2271;Faculdade;SC
FACULDADE POLITÉCNICA DE CAMPINAS;2275;Faculdade;SP
Faculdade de Tecnologia Alvares de Azevedo;2279;Faculdade;SP
Faculdade Presidente Antônio Carlos de Lambari;2288;Faculdade;MG
Faculdade do Centro Leste - Cariacica;2297;Faculdade;ES
FACULDADE METROPOLITANA DO LITORAL RIO GRANDENSE;2311;Faculdade;RS
FACULDADE JANGADA;2312;Faculdade;SC
FACULDADE HERRERO;2319;Faculdade;PR
FACULDADE DE TECNOLOGIA DE JACAREÍ;2324;Faculdade;SP
FACULDADE METROPOLITANA DA AMAZÔNIA;2328;Centro Universitário;PA
FACULDADES INTEGRADAS SÃO PEDRO;2330;Faculdade;ES
Faculdade Ibiapaba;2334;Faculdade;CE
Faculdade Galileu;2336;Faculdade;SP
FACULDADE MARECHAL RONDON;2343;Faculdade;SP
FACULDADE IMACULADA CONCEIÇÃO DO RECIFE;2344;Faculdade;PE
FACULDADES INTEGRADAS DE TANGARÁ DA SERRA;2348;Faculdade;MT
FACULDADE CIDADE VERDE;2350;Faculdade;PR
FACULDADE DE PRESIDENTE PRUDENTE;2351;Faculdade;SP
FACULDADE DE CIÊNCIAS GERENCIAIS PADRE ARNALDO JANSSEN;2355;Faculdade;MG
Faculdade Santa Teresa;2365;Faculdade;AM
FACULDADE SENAC PALHOÇA;2380;Faculdade;SC
FACULDADE DO ESTADO DO MARANHÃO;2397;Faculdade;MA
CENTRO UNIVERSITÁRIO ETEP;2399;Centro Universitário;SP
FACULDADE DA CIDADE DE MACEIÓ;2402;Faculdade;AL
FACULDADE JK - PLANO PILOTO;2408;Faculdade;DF
FACULDADE SANTO ANTONIO;2409;Faculdade;BA
FACULDADE ITEANA DE BOTUCATU;2410;Faculdade;SP
FACULDADE ANHANGÜERA DE BAURU;2413;Faculdade;SP
Faculdade Pitágoras de Vitória da Conquista;2420;Faculdade;BA
FACULDADE DE SORRISO;2423;Faculdade;MT
FACULDADE DE TECNOLOGIA DE CURITIBA;2426;Faculdade;PR
FAL ESTÁCIO - FACULDADE ESTÁCIO DE NATAL;2428;Faculdade;RN
FACULDADE ANHANGUERA DE SÃO BERNARDO;2431;Faculdade;SP
Faculdade Estácio da Paraíba;2437;Faculdade;PB
FACULDADE DE TECNOLOGIA ÁLVARES DE AZEVEDO;2440;Faculdade;SP
FACULDADE DO FUTURO;2442;Faculdade;MG
FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS;2443;Faculdade;BA
Faculdade Anhanguera de Jaú;2444;Faculdade;SP
Faculdade Anhanguera de Nova Iguaçu;2450;Faculdade;RJ
INSTITUTO DE ENSINO SUPERIOR DE AMERICANA;2459;Faculdade;SP
FACULDADE PITÁGORAS DE CONTAGEM;2460;Faculdade;MG
CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO;2462;Centro Universitário;MG
Faculdade Cosmopolita;2466;Faculdade;PA
FACULDADE PITÁGORAS DE IPATINGA;2470;Faculdade;MG
FACULDADE DE VIÇOSA;2474;Faculdade;MG
Centro Universitário FG;2494;Centro Universitário;BA
FACULDADE DE TECNOLOGIA E CIENCIAS DO NORTE DO PARANÁ;2497;Faculdade;PR
FACULDADE DE AGUDOS;2501;Faculdade;SP
FACULDADE BATISTA BRASILEIRA;2511;Faculdade;BA
Centro Universitário Fametro;2530;Centro Universitário;CE
INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA;2548;Faculdade;RJ
FACULDADE DE DIREITO E CIÊNCIAS SOCIAIS DO LESTE DE MINAS - FADILESTE;2553;Faculdade;MG
Centro Universitário Carlos Drummond de Andrade;2554;Centro Universitário;SP
"FACULDADES UNIDAS DE PESQUISA; CIÊNCIAS E SAÚDE LTDA";2560;Faculdade;BA
FACULDADE UNA DE CONTAGEM;2565;Faculdade;MG
Faculdade Assis Gurgacz;2566;Faculdade;PR
